date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:25	88346/88346	---M-Z	200	added ('OK')	text/html	etag:%223fc271b-1591a-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/widgets-data.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/widgets-data.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:25	55905/55905	---M-Z	200	added ('OK')	text/html	etag:%223fc26e2-da61-571ae40257c80-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blank.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blank.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:26	71819/71819	---M-Z	200	added ('OK')	text/html	etag:%223fc26ef-1188b-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/dashboard-rtl.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/dashboard-rtl.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:26%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:26%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:27%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:28%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:28%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:29%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Nov%202018%2015:29:29%20GMT	https://thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/light/light/index2.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/light/light/light/light/light/light/index2.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:30	60771/60771	---M-Z	200	added ('OK')	text/html	etag:%223fc26fc-ed63-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/image-gallery.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/image-gallery.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:31	62185/62185	---M-Z	200	added ('OK')	text/html	etag:%223fc2717-f2e9-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/timeline.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/timeline.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:31	78325/78325	---M-Z	200	added ('OK')	text/html	etag:%223fc2712-131f5-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/search-results.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/search-results.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:31	108378/108378	---M-Z	200	added ('OK')	text/html	etag:%223fc2718-1a75a-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/ui_kit.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/ui_kit.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:31	58609/58609	---M-Z	200	added ('OK')	text/html	etag:%223fc2604-e4f1-571ae40257c80-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/alerts.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/alerts.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:32	79092/79092	---M-Z	200	added ('OK')	text/html	etag:%223fc26ec-134f4-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/collapse.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/collapse.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:32	70696/70696	---M-Z	200	added ('OK')	text/html	etag:%223fc26ed-11428-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/colors.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/colors.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:32	59131/59131	---M-Z	200	added ('OK')	text/html	etag:%223fc26f1-e6fb-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/dialogs.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/dialogs.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:33	329637/329637	---M-Z	200	added ('OK')	text/html	etag:%223fc26fb-507a5-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/icons.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/icons.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:33	77366/77366	---M-Z	200	added ('OK')	text/html	etag:%223fc2700-12e36-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/list-group.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/list-group.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:33	65502/65502	---M-Z	200	added ('OK')	text/html	etag:%223fc2705-ffde-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/media-object.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/media-object.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:34	66729/66729	---M-Z	200	added ('OK')	text/html	etag:%223fc2706-104a9-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/modals.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/modals.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
